RBD,nombre_rbd,comuna,dependencia
97,Instituto Comercial Baldomero Wolnitzky,Iquique,Servicio Local de Educación
109,Colegio Deportivo TP Elena Duvauchelle Cabezón,Iquique,Servicio Local de Educación
124,Liceo Luis Cruz Martinez,Iquique,Servicio Local de Educación
161,Liceo de Huara,Huara,Municipal
191,Liceo Alcalde Sergio González Gutiérrez,Pozo Almonte,Municipal
12504,Colegio Little College,Iquique,Particular Subvencionado
12518,Colegio Diocesano Obispó Labbé,Iquique,Particular Subvencionado
12534,Liceo Colegio Metodista Robert Johnson,Alto Hospicio,Particular Subvencionado
12566,Colegio Metodista William Taylor,Alto Hospicio,Particular Subvencionado
12602,Escuela Básica y Parvularia Kronos School,Alto Hospicio,Particular Subvencionado
12603,Liceo Los Cóndores,Alto Hospicio,Particular Subvencionado
12631,Colegio Inglés,Iquique,Particular Subvencionado
12649,Liceo Superior Diego Portales,Alto Hospicio,Particular Subvencionado
12650,Colegio Sagrado Corazón de Jesús,Alto Hospicio,Particular Subvencionado
12686,Liceo Academia Nacional,Alto Hospicio,Particular Subvencionado
12747,Colegio Rupanic School,Alto Hospicio,Particular Subvencionado
12759,Liceo Camiña,Camiña,Municipal
40429,Liceo Técnico Profesional de Adultos,Iquique,Servicio Local de Educación
40422,Colegio Nirvana,Alto Hospicio,Particular Subvencionado
12652,Colegio Santo Domingo Savio,Alto Hospicio,Particular Subvencionado
