MRUN,sexo,ESTADO_PRACTICA,AGNO_TITULACION,AGNO_ESCOLAR,COD_ENSE,COD_ESPE,RBD,nombre_rbd,comuna,NOMBRE_EMPRESA,COD_COM_EMPRESA,GLOSA_RUBRO,glosa_simple
152871,Mujer,1,2021,2020,410,41005,191,Liceo Alcalde Sergio González Gutiérrez,Pozo Almonte,CORPORACIÓN MUNICIPAL DE DESARROLLO SOCIAL DE POZO ALMONTE,1401,MUNICIPALIDADES,Administración
523983,Hombre,1,2021,2020,410,41005,191,Liceo Alcalde Sergio González Gutiérrez,Pozo Almonte,CORPORACIÓN MUNICIPAL DE DESARROLLO SOCIAL DE POZO ALMONTE,1401,MUNICIPALIDADES,Administración
1284346,Mujer,1,2021,2020,410,41005,191,Liceo Alcalde Sergio González Gutiérrez,Pozo Almonte,EMPRESA CLAUDIA ARAYA PEREZ DISTRIBUIDORA Y COMERCIALIZADORA CAE EIRL,1101,"VENTA AL POR MAYOR DE PRODUCTOS TEXTILES, PRENDAS DE VESTIR Y CALZADO",Administración
4153205,Mujer,1,2021,2020,410,41005,191,Liceo Alcalde Sergio González Gutiérrez,Pozo Almonte,CORPORACIÓN MUNICIPAL DE DESARROLLO SOCIAL DE POZO ALMONTE,1401,MUNICIPALIDADES,Administración
4368772,Hombre,1,2021,2021,410,41005,191,Liceo Alcalde Sergio González Gutiérrez,Pozo Almonte,SOC. COMERCIAL E INDUSTRIAL LOS ANDES LTDA.,1401,VENTA AL POR MAYOR DE OTROS ENSERES DOMÉSTICOS N.C.P.,Administración
4929422,Hombre,1,2021,2020,410,41005,191,Liceo Alcalde Sergio González Gutiérrez,Pozo Almonte,CORPORACIÓN MUNICIPAL DE DESARROLLO SOCIAL DE POZO ALMONTE,1401,MUNICIPALIDADES,Administración
5502885,Mujer,1,2021,2020,410,41005,191,Liceo Alcalde Sergio González Gutiérrez,Pozo Almonte,EMPRESA VALNICO,1401,"REPARACIÓN DE TANQUES, DEPÓSITOS Y RECIPIENTES DE METAL",Administración
5540233,Mujer,1,2021,2020,410,41005,191,Liceo Alcalde Sergio González Gutiérrez,Pozo Almonte,INSTITUTO DE DESARROLLO AGROPECUARIO  INDAP,1401,GOBIERNO CENTRAL,Administración
8417888,Mujer,1,2021,2020,410,41005,191,Liceo Alcalde Sergio González Gutiérrez,Pozo Almonte,ILUSTRE MUNICIPALIDAD DE POZO ALMONTE,1401,MUNICIPALIDADES,Administración
8802417,Hombre,1,2021,2020,410,41005,191,Liceo Alcalde Sergio González Gutiérrez,Pozo Almonte,CORPORACIÓN MUNICIPAL DE DESARROLLO SOCIAL DE POZO ALMONTE,1401,MUNICIPALIDADES,Administración
9402394,Mujer,1,2021,2020,410,41005,191,Liceo Alcalde Sergio González Gutiérrez,Pozo Almonte,MUNICIPALIDAD DE POZO ALMONTE,1401,MUNICIPALIDADES,Administración
9724780,Mujer,1,2021,2020,410,41005,191,Liceo Alcalde Sergio González Gutiérrez,Pozo Almonte,JJ ESPINOZA,1401,OTRAS ACTIVIDADES EMPRESARIALES N.C.P.,Administración
11320617,Mujer,1,2021,2020,410,41005,191,Liceo Alcalde Sergio González Gutiérrez,Pozo Almonte,MUNICIPALIDAD DE POZO ALMONTE,1401,MUNICIPALIDADES,Administración
12772484,Mujer,1,2021,2020,410,41005,191,Liceo Alcalde Sergio González Gutiérrez,Pozo Almonte,MUNICIPALIDAD DE POZO ALMONTE,1401,MUNICIPALIDADES,Administración
13312316,Mujer,1,2021,2020,410,41005,191,Liceo Alcalde Sergio González Gutiérrez,Pozo Almonte,MUNICIPALIDAD DE POZO ALMONTE,1401,MUNICIPALIDADES,Administración
13384432,Mujer,1,2021,2020,410,41005,191,Liceo Alcalde Sergio González Gutiérrez,Pozo Almonte,CORPORACIÓN MUNICIPAL DE DESARROLLO SOCIAL DE POZO ALMONTE,1401,MUNICIPALIDADES,Administración
13680669,Mujer,1,2021,2020,410,41005,191,Liceo Alcalde Sergio González Gutiérrez,Pozo Almonte,MUNICIPALIDAD DE POZO ALMONTE,1401,MUNICIPALIDADES,Administración
14413671,Hombre,1,2021,2020,410,41005,191,Liceo Alcalde Sergio González Gutiérrez,Pozo Almonte,CORPORACIÓN MUNICIPAL DE DESARROLLO SOCIAL DE POZO ALMONTE,1401,MUNICIPALIDADES,Administración
15258890,Hombre,1,2021,2021,410,41005,191,Liceo Alcalde Sergio González Gutiérrez,Pozo Almonte,MUNICIPALIDAD DE POZO ALMONTE,1401,MUNICIPALIDADES,Administración
15568203,Hombre,1,2021,2020,410,41005,191,Liceo Alcalde Sergio González Gutiérrez,Pozo Almonte,CORPORACIÓN MUNICIPAL DE DESARROLLO SOCIAL DE POZO ALMONTE,1401,MUNICIPALIDADES,Administración
16562104,Mujer,1,2021,2020,410,41005,191,Liceo Alcalde Sergio González Gutiérrez,Pozo Almonte,CORPORACIÓN MUNICIPAL DE DESARROLLO SOCIAL DE POZO ALMONTE,1401,MUNICIPALIDADES,Administración
17067710,Hombre,1,2021,2020,410,41005,191,Liceo Alcalde Sergio González Gutiérrez,Pozo Almonte,TRANSPORTES IZAUSPE,1401,TRANSPORTE DE CARGA POR CARRETERA,Administración
