AGNO,MRUN,sexo,RBD,nombre_rbd,glosa_simple,RBD_EGRESO,nombre_rbd_egreso,egresado,glosa_egreso,titulado,AGNO_TITULACION,glosa_titulacion
2019,1166231,Hombre,161,Liceo de Huara,Administración,161,Liceo de Huara,Sí,Administración,Sí,2020,Administración
2019,4626237,Mujer,161,Liceo de Huara,Administración,161,Liceo de Huara,Sí,Administración,Sí,2020,Administración
2019,6733498,Mujer,161,Liceo de Huara,Administración,161,Liceo de Huara,Sí,Administración,Sí,2020,Administración
2019,11928245,Mujer,161,Liceo de Huara,Administración,161,Liceo de Huara,Sí,Administración,Sí,2020,Administración
2019,13962828,Mujer,161,Liceo de Huara,Administración,161,Liceo de Huara,Sí,Administración,No,NA,No titulado
2019,14304087,Hombre,161,Liceo de Huara,Administración,161,Liceo de Huara,Sí,Administración,Sí,2020,Administración
2019,17108975,Mujer,161,Liceo de Huara,Administración,161,Liceo de Huara,Sí,Administración,Sí,2020,Administración
2019,17614388,Mujer,161,Liceo de Huara,Administración,161,Liceo de Huara,Sí,Administración,No,NA,No titulado
2019,18599648,Mujer,161,Liceo de Huara,Administración,161,Liceo de Huara,Sí,Administración,Sí,2020,Administración
2019,18670259,Hombre,161,Liceo de Huara,Administración,161,Liceo de Huara,Sí,Administración,Sí,2023,Administración
2019,20892412,Mujer,161,Liceo de Huara,Administración,161,Liceo de Huara,Sí,Administración,Sí,2020,Administración
2019,22059303,Hombre,161,Liceo de Huara,Administración,161,Liceo de Huara,Sí,Administración,Sí,2023,Administración
2019,22088001,Hombre,161,Liceo de Huara,Administración,161,Liceo de Huara,Sí,Administración,No,NA,No titulado
2019,23086577,Hombre,161,Liceo de Huara,Administración,161,Liceo de Huara,Sí,Administración,Sí,2020,Administración
2019,747811,Mujer,191,Liceo Alcalde Sergio González Gutiérrez,Administración,191,Liceo Alcalde Sergio González Gutiérrez,Sí,Administración,Sí,2021,Administración
2019,1099529,Mujer,191,Liceo Alcalde Sergio González Gutiérrez,Administración,191,Liceo Alcalde Sergio González Gutiérrez,Sí,Administración,No,NA,No titulado
2019,2215044,Mujer,191,Liceo Alcalde Sergio González Gutiérrez,Administración,191,Liceo Alcalde Sergio González Gutiérrez,Sí,Administración,Sí,2020,Administración
2019,2580479,Mujer,191,Liceo Alcalde Sergio González Gutiérrez,Administración,191,Liceo Alcalde Sergio González Gutiérrez,Sí,Administración,No,NA,No titulado
2019,4106246,Mujer,191,Liceo Alcalde Sergio González Gutiérrez,Administración,191,Liceo Alcalde Sergio González Gutiérrez,Sí,Administración,Sí,2020,Administración
2019,5041836,Hombre,191,Liceo Alcalde Sergio González Gutiérrez,Administración,191,Liceo Alcalde Sergio González Gutiérrez,Sí,Administración,No,NA,No titulado
2019,5049100,Mujer,191,Liceo Alcalde Sergio González Gutiérrez,Administración,191,Liceo Alcalde Sergio González Gutiérrez,Sí,Administración,Sí,2020,Administración
