MRUN,AGNO,nombre_rbd,glosa_simple,CAT_PERIODO,TIPO_INST_1,JORNADA,nomb_carrera,nomb_inst_simple,NIVEL_CARRERA_2,AREA_CONOCIMIENTO,AREA_CARRERA_GENERICA,FORMA_INGRESO,nomb_inst_agrupado,area_agrupada,forma_ingreso_ok
3071551,2020,Liceo de Huara,Administración,2021,Centros de Formación Técnica,Diurno,Técnico en Educación Especial,CFT Santo Tomás,Carreras Técnicas,Educación,Técnico Asistente del Educador Diferencial,1- Ingreso Directo (regular),Santo Tomás,Otras áreas,Directo
14171203,2020,Liceo de Huara,Administración,2021,Universidades,Diurno,NA,Universidad de Tarapacá,Carreras Profesionales,Salud,Obstetricia y Puericultura,9- Ingreso por características especiales,Universidad de Tarapacá,Otras áreas,Características especiales
16963413,2020,Liceo de Huara,Administración,2021,Universidades,Diurno,NA,Universidad Arturo Prat,Carreras Profesionales,Salud,Enfermería,7- Ingreso a través de PACE,Universidad Arturo Prat,Otras áreas,PACE
23298752,2020,Liceo de Huara,Administración,2021,Institutos Profesionales,Vespertino,NA,IP Inacap,Carreras Profesionales,Administración y Comercio,Contador Auditor,1- Ingreso Directo (regular),INACAP,Administración y Comercio,Directo
523983,2020,Liceo Alcalde Sergio González Gutiérrez,Administración,2021,Institutos Profesionales,Vespertino,NA,IP Inacap,Carreras Profesionales,Administración y Comercio,Administración de Empresas e Ing. Asociadas,1- Ingreso Directo (regular),INACAP,Administración y Comercio,Directo
2519213,2020,Liceo Alcalde Sergio González Gutiérrez,Administración,2021,Centros de Formación Técnica,Diurno,Contabilidad General,CFT Inacap,Carreras Técnicas,Administración y Comercio,Técnico en Contabilidad General,1- Ingreso Directo (regular),INACAP,Administración y Comercio,Directo
4055907,2020,Liceo Alcalde Sergio González Gutiérrez,Administración,2021,Centros de Formación Técnica,Vespertino,Administración de Empresas,CFT Inacap,Carreras Técnicas,Administración y Comercio,Técnico en Administración de Empresas,1- Ingreso Directo (regular),INACAP,Administración y Comercio,Directo
4929422,2020,Liceo Alcalde Sergio González Gutiérrez,Administración,2021,Institutos Profesionales,Diurno,NA,IP Santo Tomás,Carreras Profesionales,Tecnología,Ingeniería en Computación e Informática,1- Ingreso Directo (regular),Santo Tomás,Otras áreas,Directo
5709834,2020,Liceo Alcalde Sergio González Gutiérrez,Administración,2021,Institutos Profesionales,Vespertino,NA,IP Inacap,Carreras Profesionales,Administración y Comercio,Contador Auditor,1- Ingreso Directo (regular),INACAP,Administración y Comercio,Directo
9724780,2020,Liceo Alcalde Sergio González Gutiérrez,Administración,2021,Institutos Profesionales,Vespertino,NA,IP Santo Tomás,Carreras Profesionales,Administración y Comercio,Ingeniería en Recursos Humanos,1- Ingreso Directo (regular),Santo Tomás,Administración y Comercio,Directo
11862196,2020,Liceo Alcalde Sergio González Gutiérrez,Administración,2021,Institutos Profesionales,Vespertino,NA,IP Inacap,Carreras Profesionales,Administración y Comercio,Administración de Empresas e Ing. Asociadas,1- Ingreso Directo (regular),INACAP,Administración y Comercio,Directo
12772484,2020,Liceo Alcalde Sergio González Gutiérrez,Administración,2021,Centros de Formación Técnica,Diurno,Administración de Empresas,CFT Inacap,Carreras Técnicas,Administración y Comercio,Técnico en Administración de Empresas,1- Ingreso Directo (regular),INACAP,Administración y Comercio,Directo
13247108,2020,Liceo Alcalde Sergio González Gutiérrez,Administración,2021,Centros de Formación Técnica,Diurno,Técnico en Minería,CFT Inacap,Carreras Técnicas,Tecnología,Técnico en Minería,1- Ingreso Directo (regular),INACAP,Otras áreas,Directo
16562104,2020,Liceo Alcalde Sergio González Gutiérrez,Administración,2021,Institutos Profesionales,Diurno,NA,IP Inacap,Carreras Profesionales,Administración y Comercio,Administración Gastronómica,1- Ingreso Directo (regular),INACAP,Administración y Comercio,Directo
19613402,2020,Liceo Alcalde Sergio González Gutiérrez,Administración,2021,Institutos Profesionales,Diurno,NA,IP Inacap,Carreras Profesionales,Administración y Comercio,Ingeniería en Logística,1- Ingreso Directo (regular),INACAP,Administración y Comercio,Directo
20592619,2020,Liceo Alcalde Sergio González Gutiérrez,Administración,2021,Universidades,Diurno,NA,Universidad Arturo Prat,Carreras Profesionales,Administración y Comercio,Contador Auditor,1- Ingreso Directo (regular),Universidad Arturo Prat,Administración y Comercio,Directo
21279989,2020,Liceo Alcalde Sergio González Gutiérrez,Administración,2021,Centros de Formación Técnica,Diurno,Gastronomía Internacional,CFT Inacap,Carreras Técnicas,Administración y Comercio,Técnico en Gastronomía y Cocina,1- Ingreso Directo (regular),INACAP,Administración y Comercio,Directo
21541534,2020,Liceo Alcalde Sergio González Gutiérrez,Administración,2021,Centros de Formación Técnica,A Distancia,NA,NA,Carreras Técnicas,Administración y Comercio,Técnico en Contabilidad General,1- Ingreso Directo (regular),NA,Administración y Comercio,Directo
25475092,2020,Liceo Alcalde Sergio González Gutiérrez,Administración,2021,Centros de Formación Técnica,Diurno,Técnico en Minería,CFT Inacap,Carreras Técnicas,Tecnología,Técnico en Minería,1- Ingreso Directo (regular),INACAP,Otras áreas,Directo
26244217,2020,Liceo Alcalde Sergio González Gutiérrez,Administración,2021,Institutos Profesionales,Diurno,NA,IP Inacap,Carreras Profesionales,Administración y Comercio,Ingeniería en Logística,1- Ingreso Directo (regular),INACAP,Administración y Comercio,Directo
17785978,2020,Liceo Alcalde Sergio González Gutiérrez,Administración,2021,Institutos Profesionales,A Distancia,NA,NA,Carreras Técnicas,Tecnología,Técnico en Prevención de Riesgos,1- Ingreso Directo (regular),NA,Otras áreas,Directo
22110137,2020,Liceo Alcalde Sergio González Gutiérrez,Administración,2021,Universidades,Diurno,NA,Universidad Arturo Prat,Carreras Profesionales,Tecnología,Ingeniería Civil Industrial,1- Ingreso Directo (regular),Universidad Arturo Prat,Otras áreas,Directo
